[SYS] 2026/06/09 - 14:01:25 | initializing token encoders 
[SYS] 2026/06/09 - 14:01:25 | token encoders initialized 
[SYS] 2026/06/09 - 14:01:25 | using SQLite as database 
[SYS] 2026/06/09 - 14:01:25 | database migration started 
[SYS] 2026/06/09 - 14:01:25 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/09 - 14:01:25 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/09 - 14:01:25 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/09 - 14:01:25 | New API v0.0.0 started 
[SYS] 2026/06/09 - 14:01:25 | 正在更新数据看板数据... 
[INFO] 2026/06/09 - 14:01:25 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/09 - 14:01:25 | upstream model update task started: interval=30m0s 
[SYS] 2026/06/09 - 14:01:25 | 保存数据看板数据成功，共保存0条数据 

  [32mNew API v0.0.0[0m  ready in 193 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/09 - 14:01:26 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": EOF 
[SYS] 2026/06/09 - 14:01:26 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[GIN] 2026/06/09 - 14:01:29 | web | 202606090601291979060008268d9d61opZgJGu | 200 |      1.0762ms |       127.0.0.1 |     GET /console/channel
[GIN] 2026/06/09 - 14:02:45 | api | 202606090602453647135008268d9d6YcuCLTTZ | 200 |       6.408ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780984965&default_time=hour
[GIN] 2026/06/09 - 14:02:45 | api | 202606090602454458646008268d9d6LT9x4ouY | 200 |      2.6455ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780984965
[GIN] 2026/06/09 - 14:02:46 | api | 202606090602467957578008268d9d69zYwOihw | 200 |      1.0431ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 14:02:46 | api | 202606090602467968009008268d9d6MMruRg39 | 200 |      1.5115ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 14:02:46 | api | 202606090602467968009008268d9d6Mhkt2Srr | 200 |      2.5122ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&status=enabled
[GIN] 2026/06/09 - 14:02:46 | api | 202606090602467973209008268d9d6edb4Qkev | 200 |     28.4765ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:03:24 | api | 20260609060324644192008268d9d6GI5pPrUn | 200 |       1.065ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[SYS] 2026/06/09 - 14:03:25 | syncing options from database 
[GIN] 2026/06/09 - 14:03:30 | web | 202606090603308974877008268d9d6OFHIWefS | 200 |            0s |       127.0.0.1 |     GET /console/channel
[GIN] 2026/06/09 - 14:03:31 | api | 20260609060331737314008268d9d6yLUjXJ39 | 200 |      1.5129ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 14:03:31 | api | 20260609060331731292008268d9d6Vidq6PQq | 200 |       3.115ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 14:03:31 | api | 20260609060331742647008268d9d65XNlUwqP | 200 |      1.9795ms |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 14:03:31 | api | 20260609060331726021008268d9d6FjRARHnZ | 200 |      5.1583ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:03:31 | api | 20260609060331737314008268d9d6pK5pWoKW | 200 |      6.1423ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 14:03:31 | api | 20260609060331752443008268d9d6X4eXNHyx | 200 |     17.7664ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:03:39 | api | 202606090603391101660008268d9d68azJkghB | 200 |     11.3066ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:03:41 | api | 202606090603415966568008268d9d6BlamUEpO | 200 |      1.2175ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 14:03:41 | api | 202606090603415958177008268d9d6uFTpM3n7 | 200 |      2.0566ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 14:03:41 | api | 202606090603415966568008268d9d6sss7A5Tp | 200 |      1.7395ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 14:03:41 | api | 202606090603415966568008268d9d6fov2rSsH | 200 |      16.607ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:03:42 | api | 202606090603428127238008268d9d6ShzNIVjj | 200 |       522.8µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 14:03:42 | api | 202606090603428127238008268d9d6DrO0yGtk | 200 |       522.8µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:03:42 | api | 202606090603428122036008268d9d6nkmmVdUV | 200 |      2.6016ms |       127.0.0.1 |     GET /api/user/2fa/status
[GIN] 2026/06/09 - 14:03:43 | api | 202606090603436099766008268d9d6OdykMCzA | 200 |      2.7334ms |       127.0.0.1 |     GET /api/log/?p=1&page_size=10&type=0&username=&token_name=&model_name=&start_timestamp=1780934400&end_timestamp=1780988623&channel=&request_id=
[GIN] 2026/06/09 - 14:03:43 | api | 202606090603436309078008268d9d6tYaXLj8S | 200 |       561.5µs |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1780934400&end_timestamp=1780988623&channel=
[GIN] 2026/06/09 - 14:03:44 | api | 202606090603444493189008268d9d6IgHSAOKA | 200 |      1.5831ms |       127.0.0.1 |     GET /api/token/?p=1&size=10
[GIN] 2026/06/09 - 14:03:44 | api | 202606090603444493189008268d9d64tuWmQEt | 200 |      5.3255ms |       127.0.0.1 |     GET /api/user/models
[GIN] 2026/06/09 - 14:03:45 | api | 202606090603456284730008268d9d6gpaExE0V | 200 |       559.1µs |       127.0.0.1 |     GET /api/log/?p=1&page_size=10&type=0&username=&token_name=&model_name=&start_timestamp=1780934400&end_timestamp=1780988625&channel=&request_id=
[GIN] 2026/06/09 - 14:03:45 | api | 202606090603456987515008268d9d6dzrvgMYR | 200 |       809.8µs |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1780934400&end_timestamp=1780988625&channel=
[GIN] 2026/06/09 - 14:04:13 | api | 202606090604131902500008268d9d6IFjoJpEq | 200 |      1.0001ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:04:13 | api | 202606090604131971764008268d9d6V3ZKWQpC | 200 |      5.7135ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985053&default_time=hour
[GIN] 2026/06/09 - 14:04:13 | api | 202606090604132645117008268d9d6tOX36OdN | 200 |      2.5959ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985053
[GIN] 2026/06/09 - 14:04:15 | api | 202606090604158490981008268d9d6xW1FPmDc | 200 |      1.6041ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 14:04:15 | api | 202606090604158542836008268d9d6DAHq3X3A | 200 |      1.3096ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 14:04:15 | api | 202606090604158539015008268d9d6u7XRI3YM | 200 |      2.7529ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 14:04:15 | api | 202606090604158542836008268d9d6l8ocsBz4 | 200 |     24.0584ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:04:24 | api | 202606090604243378378008268d9d6qj2ljk0B | 200 |      1.3266ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:04:24 | api | 202606090604243378378008268d9d6h6QiBeTr | 200 |      5.2872ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985064&default_time=hour
[GIN] 2026/06/09 - 14:04:24 | api | 202606090604243588139008268d9d6cxGqKlOQ | 200 |      2.9504ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985064
[GIN] 2026/06/09 - 14:04:25 | api | 202606090604255159636008268d9d6juBNLgtK | 200 |      1.0404ms |       127.0.0.1 |     GET /api/token/?p=1&size=10
[GIN] 2026/06/09 - 14:04:25 | api | 202606090604255159636008268d9d6lmEPXeEv | 200 |      2.0837ms |       127.0.0.1 |     GET /api/user/models
[SYS] 2026/06/09 - 14:04:25 | syncing options from database 
[GIN] 2026/06/09 - 14:04:28 | api | 202606090604285195485008268d9d6g1g4wghi | 200 |       1.035ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:04:28 | api | 202606090604285205835008268d9d6JCPZ1XU9 | 200 |      4.9501ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985068&default_time=hour
[GIN] 2026/06/09 - 14:04:28 | api | 202606090604285485958008268d9d6qVWebgjF | 200 |       2.999ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985068
[GIN] 2026/06/09 - 14:04:30 | api | 202606090604306059021008268d9d6nyy4ICkH | 200 |      2.6157ms |       127.0.0.1 |     GET /api/channel/models_enabled_details
[GIN] 2026/06/09 - 14:05:03 | api | 202606090605039555608008268d9d65nhr2uIe | 200 |      3.9372ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:05:03 | api | 202606090605039555608008268d9d6MJfoaKVb | 200 |      9.3482ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985103&default_time=hour
[GIN] 2026/06/09 - 14:05:04 | api | 20260609060504280281008268d9d67MAzb5Ml | 200 |      2.7084ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985103
[GIN] 2026/06/09 - 14:05:21 | api | 202606090605212470558008268d9d6VV8oXQ9A | 200 |      1.5849ms |       127.0.0.1 |     GET /api/log/?p=1&page_size=10&type=0&username=&token_name=&model_name=&start_timestamp=1780934400&end_timestamp=1780988721&channel=&request_id=
[GIN] 2026/06/09 - 14:05:21 | api | 202606090605212740724008268d9d61351mAki | 200 |       525.3µs |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1780934400&end_timestamp=1780988721&channel=
[SYS] 2026/06/09 - 14:05:25 | syncing options from database 
[SYS] 2026/06/09 - 14:06:25 | 正在更新数据看板数据... 
[SYS] 2026/06/09 - 14:06:25 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2026/06/09 - 14:06:25 | syncing options from database 
[GIN] 2026/06/09 - 14:06:41 | api | 202606090606418142472008268d9d6JRAnhk79 | 200 |      1.0001ms |       127.0.0.1 |     GET /api/token/?p=1&size=10
[GIN] 2026/06/09 - 14:06:41 | api | 202606090606418142472008268d9d6ndrpFm35 | 200 |      4.0004ms |       127.0.0.1 |     GET /api/user/models
[GIN] 2026/06/09 - 14:06:43 | api | 202606090606434268885008268d9d6iBfdWXjP | 200 |      1.7257ms |       127.0.0.1 |     GET /api/log/?p=1&page_size=10&type=0&username=&token_name=&model_name=&start_timestamp=1780934400&end_timestamp=1780988803&channel=&request_id=
[GIN] 2026/06/09 - 14:06:43 | api | 202606090606434514148008268d9d66WxY9uwc | 200 |       522.7µs |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1780934400&end_timestamp=1780988803&channel=
[GIN] 2026/06/09 - 14:06:44 | api | 20260609060644298208008268d9d6glmYwRUH | 200 |      1.0254ms |       127.0.0.1 |     GET /api/user/2fa/status
[GIN] 2026/06/09 - 14:06:44 | api | 20260609060644298208008268d9d6vhJsl54Z | 200 |      1.1343ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:06:44 | api | 20260609060644308462008268d9d60bWlGsf3 | 200 |       108.9µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 14:06:44 | api | 202606090606446933297008268d9d63mA5CId3 | 200 |      1.0584ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 14:06:44 | api | 202606090606446938745008268d9d6GEWYxfT2 | 200 |       763.7µs |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 14:06:44 | api | 202606090606446938745008268d9d6rwfpID6a | 200 |      1.9211ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 14:06:44 | api | 202606090606446943881008268d9d6WQhn1TU4 | 200 |     18.2038ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:06:47 | api | 202606090606473609888008268d9d6z5cYjes2 | 200 |      1.5598ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&type=1
[GIN] 2026/06/09 - 14:06:48 | api | 202606090606482439542008268d9d6JCwNHS2C | 200 |      1.0904ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 14:06:49 | api | 20260609060649409204008268d9d6Nj1M8O4X | 200 |      2.1375ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&type=14
[GIN] 2026/06/09 - 14:06:50 | api | 202606090606503597658008268d9d6R1Y13Olr | 200 |      2.0015ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true&type=1
[GIN] 2026/06/09 - 14:06:51 | api | 20260609060651855595008268d9d6PBFjvw7i | 200 |      1.9994ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 14:06:52 | api | 202606090606529394931008268d9d69zOyVKLh | 200 |     16.5441ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:06:53 | api | 202606090606539137320008268d9d6pBEtkOL9 | 200 |      1.1097ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 14:06:53 | api | 202606090606539137320008268d9d67GmyMDXL | 200 |      1.6222ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 14:06:53 | api | 202606090606539148417008268d9d6o5ELEIh7 | 200 |         649µs |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 14:06:53 | api | 202606090606539148417008268d9d6pjeNYzFD | 200 |     18.8601ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 14:06:56 | api | 202606090606563313144008268d9d6HYl8FvYg | 200 |      3.2545ms |       127.0.0.1 |     GET /api/channel/models_enabled_details
[GIN] 2026/06/09 - 14:07:03 | api | 20260609060703880177008268d9d6sCHER953 | 200 |       522.9µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:07:03 | api | 20260609060703880177008268d9d6PAxUmhEH | 200 |      4.8434ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985223&default_time=hour
[GIN] 2026/06/09 - 14:07:03 | api | 202606090607031388829008268d9d6axocb2D4 | 200 |      2.4009ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985223
[SYS] 2026/06/09 - 14:07:25 | syncing options from database 
[SYS] 2026/06/09 - 14:08:25 | syncing options from database 
[SYS] 2026/06/09 - 14:09:25 | syncing options from database 
[GIN] 2026/06/09 - 14:09:54 | api | 202606090609541197445008268d9d6AoLOYGul | 200 |      3.6605ms |       127.0.0.1 |     GET /api/channel/models_enabled_details
[GIN] 2026/06/09 - 14:09:56 | api | 20260609060956741625008268d9d635lMjQCu | 200 |      1.0466ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:09:56 | api | 20260609060956746738008268d9d6j68Cejxf | 200 |      5.5251ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985396&default_time=hour
[GIN] 2026/06/09 - 14:09:56 | api | 202606090609561120651008268d9d6c6QKtXYd | 200 |      2.1061ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985396
[GIN] 2026/06/09 - 14:09:57 | api | 20260609060957111663008268d9d6SyKV6XuM | 200 |      2.9998ms |       127.0.0.1 |     GET /api/channel/models_enabled_details
[GIN] 2026/06/09 - 14:09:58 | api | 202606090609581703189008268d9d6OQHW0uxy | 200 |      2.3037ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:09:58 | api | 202606090609581703189008268d9d6GUSyya9M | 200 |      6.4445ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985398&default_time=hour
[GIN] 2026/06/09 - 14:09:58 | api | 202606090609582311672008268d9d6fDmF3eSC | 200 |      2.2734ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985398
[GIN] 2026/06/09 - 14:10:01 | api | 202606090610015831654008268d9d6LpZG059l | 200 |      4.3225ms |       127.0.0.1 |     GET /api/channel/models_enabled_details
[GIN] 2026/06/09 - 14:10:09 | api | 202606090610093377675008268d9d681mcYkC2 | 200 |       525.6µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 14:10:09 | api | 202606090610093382931008268d9d6YJjgVahZ | 200 |      5.8679ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780985409&default_time=hour
[GIN] 2026/06/09 - 14:10:09 | api | 202606090610093864458008268d9d6VixQKtDu | 200 |      2.0843ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780985409
[SYS] 2026/06/09 - 14:10:25 | syncing options from database 
